REGISTRATION_DATE,KC_REPUDIATE_DT,DRIVER_AGE,KC_OUTSTANDING_RESERVE,TIME_TAKEN_REGISTRATION,KC_STATUS,KC_STATUS_TEXT,POLICY_NUMBER,CLAIMNUMBER,RISKNAME,ANALYST_HANDLING,AUTHORIZE_BY,NOTIFICATE_DATE,POLICE_REPORTED,POLICE_STATION_NAME,KC_SUM_INSURED,DATE_LOSS,PERILNAME,NOTIFICATION_DATE,IC_NAME,GP_NAME,GCT_NAME,CLIENT_MOBILE_NUMBER,CLIENT_NAME,INT_TYP,INTERMEDIARY_NAME,INTERMEDIARY_PHONE_NO,COVER_START_DATE,COVER_END_DATE,BR_NAME,MAKE_NAME,MODEL_NAME,MANUFACTURING_YEAR,POLICY_HOLDER_GENDER,POLICY_HOLDER_AGE,KC_FIRST_REPUDIATE_REM,KC_FIRST_REPUDIATE_REM_DATA,KC_SECOND_REPUDIATE_REM,KC_FIFTH_REPUDIATE_REM,GMR_ENGINE_NO,GMR_CHASIS_NO,GMR_VEH_COLOR
,,31.0,95050,1,6,Inprocess,G/MCH/00011,C/MCH/00012,KB00011,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,722000110,Anthony 00011,Agent,AGAnthony 00011,728000112,,,Machakos,Toyota,"Caldina St19, Et19, Ct19, At19",2001,Male,58.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/NYR/00012,C/NYR/00013,KC00012,N00004,N00004,,,,500000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,722000120,Archie 00012,Dsf,AGArchie 00012,722000122,,,Nyeri,Toyota,"Passo Ngc3, Kgc3",2009,Male,58.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95700,1,5,Inprocess,G/KTD/00013,C/KTD/00014,KC00013,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,722000130,Arnold 00013,Agent,AGArnold 00013,722000132,,,Ktda,Toyota,Noah/Voxy Zrr7,2008,Male,58.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/KTD/00014,C/KTD/00015,KB00014,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,721000140,Arthur 00014,Agent,AGArthur 00014,722000142,,,Ktda,Mercedes-Benz,C-Class S202,2002,Female,24.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KSM/00015,C/KSM/00016,KB00015,N00004,N00004,,,,550000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,728000150,Austin 00015,Bancassurance,AGAustin 00015,725000152,,,Kisumu,Toyota,Noah/Voxy Azr6,2005,Male,54.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95700,1,5,Inprocess,G/THK/00016,C/THK/00017,KC00016,G00006,C00003,,,,1200000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,710000160,Barry 00016,Bancassurance,AGBarry 00016,722000162,,,Thika,Mitsubishi,Outlander Cww,2009,Male,55.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95000,1,5,Inprocess,G/NYR/00017,C/NYR/00018,KT00017,J00003,C00003,,,,487750.0,,Third Party,,Motor Commercial Psv,Psv Tuk Tuk,Comprehensive,720000170,Benjamin 00017,Bancassurance,AGBenjamin 00017,725000172,,,Nyeri,Piaggio,Open Tourer,2022,Male,49.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,3200,1,2,Inprocess,G/MCH/00018,C/MCH/00019,KC00018,T00002,J00002,,,,450000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,721000180,Bernard 00018,Bancassurance,AGAlec 00006,722000062,,,Machakos,Honda,Jazz Gd,2008,Male,52.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KSM/00019,C/KSM/00020,KB00019,N00004,N00004,,,,2120000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,706000190,Blake 00019,Bancassurance,AGAustin 00015,725000152,,,Kisumu,Isuzu,Midi 98000N,2005,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,35000,1,5,Inprocess,G/MCH/00020,C/MCH/00021,KD00020,J00003,C00003,,,,830000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,700000200,Bradley 00020,Agent,AGAnthony 00011,728000112,,,Machakos,Suzuki,Swift Aa,2015,Male,62.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,34600,1,5,Inprocess,G/KGL/00021,C/KGL/00022,KB00021,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,725000210,Brandon 00021,Agent,AGBernard 00018,729000182,,,Kitengela,Nissan,Sunny,2000,Male,45.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/KSM/00022,C/KSM/00023,KC00022,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,720000220,Brendan 00022,Agent,AGBlake 00019,754000192,,,Kisumu,Toyota,Harrier Acu30W,2014,,47.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,1,1,5,Inprocess,G/THK/00023,C/THK/00024,KD00023,T00002,J00002,,,,5300000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,790000230,Brian 00023,Bancassurance,AGAlec 00006,722000062,,,Thika,Tata,Manza,2020,Male,46.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,36600,1,5,Inprocess,G/KTD/00024,C/KTD/00025,KC00024,S00005,C00003,,,,4700000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,720000240,Bruce 00024,Bancassurance,AGAlan 00004,203000042,,,Ktda,Isuzu,Fsr33H,2020,Male,46.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,700,1,5,Inprocess,G/WST/00025,C/WST/00026,KC00025,T00002,J00002,,,,780000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,710000250,Bryan 00025,Bancassurance,AGAlan 00004,203000042,,,Westlands,Toyota,Axio,2011,Male,45.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,-1,Inprocess,G/MRU/00026,C/MRU/00027,KA00026,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,725000260,Caleb 00026,Dsf,AGBradley 00020,726000202,,,Meru,Toyota,Corolla Ae96,1999,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,55000,1,5,Inprocess,G/HGS/00027,C/HGS/00028,KC00027,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,759000270,Callum 00027,Agent,AGBrandon 00021,202000212,,,Hughes,Mazda,Demio Dw,2010,,45.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/HQS/00028,C/HQS/00029,KC00028,N00004,N00004,,,,1300000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,719000280,Calvin 00028,Agent,AGBrendan 00022,719000222,,,Head Office,Mercedes-Benz,E-Class C207,2007,Male,44.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,35000,1,5,Inprocess,G/HQS/00029,C/HQS/00030,KC00029,J00003,C00003,,,,460000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,720000290,Carl 00029,Broker,AGBrian 00023,202000232,,,Head Office,Toyota,"Passo Nc1, Xc1",2010,Male,45.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,23000,1,5,Inprocess,G/KGL/00030,C/KGL/00031,KD00030,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial Psv,Psv Chauffeur Driven,Third Party Only,724000300,Charles 00030,Bancassurance,AGAlan 00004,203000042,,,Kitengela,Honda,Fit,2015,Male,37.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,16063,1,5,Inprocess,G/CHQ/00031,C/CHQ/00032,KC00031,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial Psv,Psv Chauffeur Driven,Third Party Only,726000310,Charlie 00031,Bancassurance,AGAustin 00015,725000152,,,Chq,Honda,Fit,2011,Male,42.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,28222,1,2,Inprocess,G/MRU/00032,C/MRU/00033,KD00032,S00005,C00003,,,,3300000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,720000320,Christian 00032,Agent,AGBruce 00024,712000242,,,Meru,Toyota,Harrier Zsu6,2015,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,28155,1,2,Inprocess,G/HGS/00033,C/HGS/00034,KD00033,T00002,C00003,,,,2830000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,723000330,Christopher 00033,Bancassurance,AGAlan 00004,203000042,,,Hughes,Toyota,Hilux I Mk I,2020,Male,37.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,38650,1,5,Inprocess,G/KKM/00034,C/KKM/00035,KA00034,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Third Party Only,726000340,Colin 00034,Agent,AGBryan 00025,728000252,,,Kakamega,Mitsubishi,Fuso F1V1,2004,,45.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95700,1,5,Inprocess,G/MCH/00035,C/MCH/00036,KC00035,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,724000350,Connor 00035,Agent,AGAnthony 00011,728000112,,,Machakos,Toyota,Vitz,2008,Male,43.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,1,1,5,Inprocess,G/RNG/00036,C/RNG/00037,KD00036,J00003,C00003,,,,900000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,709000360,Craig 00036,Bancassurance,AGAlec 00006,722000062,,,Rongai,Mazda,Bongo Sr1,2013,Male,21.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/HGS/00037,C/HGS/00038,KB00037,N00004,N00004,,,,950000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,733000370,Damian 00037,Agent,AGCaleb 00026,722000262,,,Hughes,Honda,Cr-V Mk Iii,2007,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,70000,1,5,Inprocess,G/KTD/00038,C/KTD/00039,KA00038,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,722000080,Daniel 00038,Agent,AGAlexander 00008,722000082,,,Ktda,Nissan,Xtrail,2005,Male,42.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/WST/00039,C/WST/00040,KX00039,N00004,N00004,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Third Party Only,700000380,Darren 00039,Agent,AGCallum 00027,202000272,,,Westlands,Isuzu,Ftr,1996,Male,38.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95700,1,5,Inprocess,G/KGL/00040,C/KGL/00041,KD00040,J00003,C00003,,,,1400000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,725000390,David 00040,Bancassurance,AGAlec 00006,722000062,,,Kitengela,Toyota,Mark X Mk Ii,2013,Male,37.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,2172,1,6,Inprocess,G/MSA/00041,C/MSA/00042,KD00041,S00005,C00003,,,,2250000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,723000400,Dean 00041,Agent,AGCalvin 00028,723000282,,,Mombasa,Mercedes-Benz,A180,2016,,38.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/MCH/00042,C/MCH/00043,KC00042,N00004,N00004,,,,3600000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,726000410,Dennis 00042,Bancassurance,AGAlec 00006,722000062,,,Machakos,Jeep,Grand Cherokee Mk Ii,2013,,42.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/MSA/00043,C/MSA/00044,KD00043,N00004,N00004,,,,2000000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,725000420,Derek 00043,Broker,AGCarl 00029,725000292,,,Mombasa,Honda,Vezel,2016,Male,36.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/EMB/00044,C/EMB/00045,KC00044,N00004,N00004,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Third Party Only,727000430,Desmond 00044,Agent,AGCharles 00030,722000302,,,Embu,Foton,Lvbv9,2014,,41.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KTD/00045,C/KTD/00046,KC00045,N00004,N00004,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Third Party Only,727000440,Dominic 00045,Dsf,AGCharlie 00031,727000312,,,Ktda,Hino,H/S/S,2014,,36.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,G/KSI/00046,C/KSI/00047,KC00046,N00004,N00004,,,,480000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,709000450,Donald 00046,Bancassurance,AGAustin 00015,725000152,,,Kisii,Mazda,Demio Dw,2011,Male,38.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KGL/00047,C/KGL/00048,KD00047,N00004,N00004,,,,1300000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,707000460,Douglas 00047,Broker,AGCarl 00029,725000292,,,Kitengela,Mazda,Premacy Cp,2015,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/MSA/00048,C/MSA/00049,KD00048,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,718000470,Dylan 00048,Agent,AGChristian 00032,725000322,,,Mombasa,Lexus,"Nx Zgz1, Agz1, Ayz1",2015,Male,32.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,51200,1,6,Inprocess,G/KSM/00049,C/KSM/00050,KB00049,S00005,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,727000480,Edward 00049,Agent,AGChristopher 00033,725000332,,,Kisumu,Nissan,Bluebird Sylphy I Mk I,2006,,34.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,97824,1,5,Inprocess,G/MSA/00050,C/MSA/00051,KB00050,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,718000490,Edwin 00050,Agent,AGColin 00034,715000342,,,Mombasa,Toyota,Corolla E10,2001,Male,33.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KKM/00051,C/KKM/00052,KD00051,N00004,N00004,,,,1600000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,783000500,Elliot 00051,Agent,AGConnor 00035,737000352,,,Kakamega,Audi,A3 8L1,2015,Male,30.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,58483,1,5,Inprocess,G/HQS/00052,C/HQS/00053,KB00052,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,720000510,Eric 00052,Broker,AGCraig 00036,738000362,,,Head Office,Toyota,Corolla Ae96,2004,Male,35.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,205200,1,6,Inprocess,G/WST/00053,C/WST/00054,KD00053,J00003,C00003,,,,750000.0,,Third Party,,Motor Commercial Psv,Psv Chauffeur Driven,Comprehensive,706000520,Ethan 00053,Bancassurance,AGAlan 00004,203000042,,,Westlands,Toyota,"Passo Nc1, Xc1",2015,Male,28.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,36095,1,5,Inprocess,G/KGL/00054,C/KGL/00055,KA00054,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Third Party Only,723000530,Evan 00054,Agent,AGBernard 00018,729000182,,,Kitengela,Mercedes-Benz,/8 W114,2004,Male,36.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,89030,1,6,Inprocess,G/MCH/00055,C/MCH/00056,KT00055,T00002,C00003,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Special A (Agricultural & Forestry),Third Party Only,726000540,Felix 00055,Direct,AGDamian 00037,372,,,Machakos,Massey,Ferguson,2013,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/KTD/00056,C/KTD/00057,KD00056,N00004,N00004,,,,3850000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,722000080,Finn 00056,Agent,AGAlexander 00008,722000082,,,Ktda,Toyota,Hilux Rn1,2022,Male,31.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95000,1,5,Inprocess,G/WST/00057,C/WST/00005,KC00005,S00005,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,729000050,Albert 00005,Agent,AGAlbert 00005,737000052,,,Westlands,Honda,Crv Re3,2009,Male,54.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,NKU/00005,C/NKU/00058,KC00057,N00004,N00004,,,,1800000.0,,Third Party,,Motor Commercial,Orient Commercial Insurance General Cartage,Comprehensive,722000550,Francis 00057,Bancassurance,AGAlec 00006,722000062,,,Nakuru,Man,Tgs 26.430,2008,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,19020,1,5,Inprocess,KTD/00058,C/KTD/00059,KA00058,J00003,C00003,,,,1180000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,722000560,Frank 00058,Bancassurance,AGAlan 00004,203000042,,,Ktda,Mitsubishi,"Canter Fb, Fe, Fg",2005,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,32665,1,5,Inprocess,KSI/00059,C/KSI/00060,KB00059,J00003,C00003,,,,3000000.0,,Third Party,,Motor Commercial,Orient Commercial Insurance General Cartage,Comprehensive,723000570,Frederick 00059,Dsf,AGDaniel 00038,726000382,,,Kisii,,,2014,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,MSA/00060,C/MSA/00061,KC00060,N00004,N00004,,,,720000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,721000580,Gabriel 00060,Agent,AGDarren 00039,725000392,,,Mombasa,Toyota,"Corolla Rumion Aze15, Nze15, Zre15",2010,,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,-1,Inprocess,NKU/00061,C/NKU/00062,KB00061,N00004,N00004,,,,950000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,721000590,Gareth 00061,Direct,AGDamian 00037,372,,,Nakuru,,,2007,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,1,Inprocess,KKM/00062,C/KKM/00063,KB00062,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,728000600,Gary 00062,Agent,AGBryan 00025,728000252,,,Kakamega,Toyota,"Premio Zzt24, Nzt24, Azt24",2006,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,98693,1,5,Inprocess,HGS/00063,C/HGS/00064,KB00063,T00002,J00002,,,,800000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,721000610,Gavin 00063,Agent,AGDavid 00040,721000402,,,Hughes,Land Rover,Freelander,2005,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,120700,1,5,Inprocess,HGS/00064,C/HGS/00065,KC00064,J00003,C00003,,,,4000000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,722000620,Geoffrey 00064,Agent,AGDean 00041,725000412,,,Hughes,,,2014,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,MSA/00065,C/MSA/00066,KC00065,N00004,N00004,,,,1100000.0,,Third Party,,Motor Commercial Psv,Psv Chauffeur Driven,Comprehensive,743000630,George 00065,Agent,AGDennis 00042,722000422,,,Mombasa,,,2012,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,NYR/00066,C/NYR/00067,KC00066,N00004,N00004,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Third Party Only,722000640,Gerald 00066,Agent,AGDerek 00043,722000432,,,Nyeri,Mercedes-Benz,Actross,2009,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,-1,Inprocess,EMB/00067,C/EMB/00068,KB00003,N00004,N00004,,,,1100000.0,,Third Party,,Motor Private,Motor Pack,Comprehensive,720000650,Adrian 00003,Agent,AGAdrian 00003,725000032,,,Embu,,,2007,,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,24861,1,5,Inprocess,HQS/00068,C/HQS/00069,KB00067,T00002,C00003,,,,480000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,723000660,Gerard 00067,Bancassurance,AGAlec 00006,722000062,,,Head Office,,,2002,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,95700,1,5,Inprocess,HGS/00069,C/HGS/00070,KA00068,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Third Party Only,722000670,Gordon 00068,Agent,AGDesmond 00044,202000442,,,Hughes,Mitsubishi,380 Db,2000,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,39951,1,5,Inprocess,HQS/00070,C/HQS/00071,KA00069,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,723000680,Graham 00069,Agent,AGDominic 00045,723000452,,,Head Office,,,2002,Male,24.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,HGS/00071,C/HGS/00072,KB00070,N00004,N00004,,,,0.0,,Third Party,,Motor Private,Motor Private,,722000690,Grant 00070,Agent,AGDonald 00046,722000462,,,Hughes,,,2001,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
